Name,Location,Campus Size,Power Capacity,Owner,Built Date,AIDC?,PUE,Leasing Price,Build Cost,Source(s)/Notes
Telehouse Tokyo Tama 5-2nd,"Tama-shi, Tokyo","8 floors; ~1,900 racks",18 MW (Tama area total to reach ~100MW),KDDI (Telehouse),Constr. started Jun 2025; opening 2027,"Yes (AI-era demand, water-cooling for GPU)",Not disclosed,Not disclosed,Not disclosed (KDDI's separate JPY100bn compute-infra investment not facility-specific),biz.kddi.com; ITmedia
Telehouse Osaka 2,Osaka,"Floor 52,000 sqm",Not disclosed,KDDI (Telehouse),Aug 2015,Unknown,Not disclosed,Not disclosed,Not disclosed,skyskysky.net; Baxtel
KDDI Osaka Sakai Data Center,"Sakai City, Osaka (former Sharp plant site)",Reused Sharp factory site/buildings; Baxtel size bucket: Large,"150 MW at launch, expand to 250 MW",KDDI Corporation,Site acquired ~Apr 2025; ops began Jan 22 2026,"Yes (liquid+air cooled, NVIDIA GB200 NVL72, sovereign/physical AI)",Not disclosed,Not disclosed,Not disclosed (site acquisition ~JPY1bn cited; total capex undisclosed),"KDDI Newsroom; Nikkei; Baxtel (listed as KDDI: Sakai, Osaka, status Operational)"
IDC Frontier Tokyo Fuchu Data Center,"Fuchu-shi, Tokyo","Footprint 7,225 sqm; floor 45,419 sqm (~4,000 racks)",50 MW max receiving capacity,IDC Frontier / SoftBank (joint),"Dec 1, 2020",Yes (built for hyperscaler demand),Not disclosed,Not disclosed,Not disclosed,softbank.jp press; idcf.jp PDF; Baxtel
IDC Frontier Tokyo Ariake Data Center,"Koto-ku (Ariake), Tokyo",Not disclosed,Not disclosed,IDC Frontier,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,idcf.jp; Baxtel
IDC Frontier Tokyo Nihombashi Data Center,"Chuo-ku (Nihombashi), Tokyo",Not disclosed,Not disclosed,IDC Frontier,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,idcf.jp; Baxtel
IDC Frontier Yokohama Data Center,"Yokohama, Kanagawa",Not disclosed,Not disclosed,IDC Frontier,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,idcf.jp locations; Baxtel (listed as IDC Frontier: Kanagawa Yokohama)
IDC Frontier Osaka Suita Data Center,"Suita-shi, Osaka",Not disclosed,Not disclosed,IDC Frontier,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,idcf.jp locations; Baxtel
IDC Frontier Fukuoka Kitakyushu DC (Asian Frontier),"Yahatahigashi-ku, Kitakyushu, Fukuoka","Site ~39,900 sqm; floor ~27,800 sqm (~3,340 racks)",Not disclosed,IDC Frontier,Dec 2016,Unknown,Not disclosed,Not disclosed,Not disclosed,idcf.jp press; ascii.jp
IDC Frontier Fukushima Shirakawa DC,"Shirakawa-shi, Fukushima","Total site ~67,600 sqm (~1,200 racks)",Not disclosed (rack-level only),IDC Frontier,Bldg 5 completed Apr 2018,Unknown,Target <=1.2,Not disclosed,Not disclosed,idcf.jp press; xtech.nikkei; Baxtel
IDC Frontier Nara Ikoma Data Center,"Ikoma-shi, Nara","Floor ~40,000 sqm",50 MW total receiving capacity,IDC Frontier,Completion Jul 2025; opening Oct 2025,"Yes (large-scale, amid AI-driven demand)",Not disclosed,Not disclosed,Not disclosed,idcf.jp topics
IDC Frontier/SoftBank Hokkaido Tomakomai DC (existing),"Tomakomai, Hokkaido",Not disclosed,Not disclosed,IDC Frontier,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,idcf.jp
"SoftBank/IDC Frontier Hokkaido Tomakomai AI DC (""Core Brain"")","Tomakomai, Hokkaido","Eventual site ~700,000 sqm (Baxtel confirms 7,500,000 SqFt ≈ 696,800 sqm)",First phase 50MW (FY2026); eventual >300MW,SoftBank Corp. + IDC Frontier,Groundbreaking Apr 2025; first phase FY2026,Yes (Japan's largest AI-purpose compute infra),Not disclosed,Not disclosed,Govt (METI) subsidy ~JPY30bn disclosed; total build cost undisclosed,"softbank.jp sbnews; Nikkei xTECH; Baxtel (listed as SoftBank: Hokkaido Campus, status Construction+Planned)"
SoftBank Tokyo Daini (2nd) DC,Tokyo,Not disclosed,Not disclosed,SoftBank Corp.,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,softbank.jp
SoftBank Tokyo Daishi (4th) DC,"Koto-ku (Shinsuna), Tokyo","Floor 20,000 sqm",Not disclosed,SoftBank Corp.,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,softbank.jp/biz; datacenterhawk; Baxtel (listed as SoftBank: Tokyo 4)
SoftBank Tokyo Daigo (5th) DC,"Shinagawa-ku, Tokyo",Not disclosed,Not disclosed,SoftBank Corp.,Not disclosed,Unknown,1.36 (design),Not disclosed,Not disclosed,softbank.jp PDF
SoftBank Osaka DC,Osaka,Not disclosed,Not disclosed,SoftBank Corp.,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,softbank.jp
SoftBank Osaka Daisan (3rd) DC,Osaka,Not disclosed,Not disclosed,SoftBank Corp.,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,softbank.jp
SoftBank Sapporo DC,"Sapporo, Hokkaido",Not disclosed,Not disclosed,SoftBank Corp.,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,softbank.jp
SoftBank/IDCF Kitakyushu e-PORT DC,"Kitakyushu, Fukuoka",Not disclosed,Not disclosed,SoftBank Corp./IDC Frontier,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,softbank.jp datacenter list
SoftBank/IDCF Kitakyushu e-PORT Dai-2 DC,"Kitakyushu, Fukuoka",Not disclosed,Not disclosed,SoftBank Corp./IDC Frontier,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,softbank.jp datacenter list
SoftBank Oita DC,Oita,Not disclosed,Not disclosed,SoftBank Corp.,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,softbank.jp datacenter list
Sakura Internet Ishikari Data Center,"Ishikari-shi, Hokkaido","Site ~51,448 sqm (~6,800 racks planned, 5 bldgs)","GPU fleet toward 10,000 GPUs by FY2030; ~1,100 Blackwell GPUs (Feb 2026)",Sakura Internet,Opened 2011; Bldg3 2016; container AI DC Jun 2025,"Yes (dedicated GPU/AI cloud, ~2,000 H100 2024)",Not disclosed,Not disclosed,JPY4.8bn (2024 expansion) + JPY5.3bn (2025 expansion); GPU investment JPY11.05bn separately,Nikkei (x2); Toyokeizai; taisei.co.jp
Sakura Internet Higashi-Shinjuku DC,"Shinjuku-ku, Tokyo",Not disclosed,Not disclosed,Sakura Internet,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,datacenter.sakura.ad.jp
Sakura Internet Nishi-Shinjuku DC,"Shinjuku-ku, Tokyo",Not disclosed,Not disclosed,Sakura Internet,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,datacenter.sakura.ad.jp
Sakura Internet Daikanyama DC,"Shibuya-ku, Tokyo",Not disclosed,Not disclosed,Sakura Internet,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,datacenter.sakura.ad.jp
Sakura Internet Doujima (Osaka) DC,"Kita-ku, Osaka",Not disclosed,Not disclosed,Sakura Internet,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,datacenter.sakura.ad.jp
IIJ Matsue Data Center Park,"Matsue-shi, Shimane",Not disclosed,Not disclosed,Internet Initiative Japan (IIJ),Apr 2011; new module bldg Jun 2025,Unknown,Design ~1.2 (module bldg),Not disclosed,Not disclosed,iij.ad.jp news
IIJ Shiroi Data Center Campus (Bldg 1),"Shiroi-shi, Chiba","Site ~40,000 sqm (~6,000 racks)",Max 50 MW receiving capacity,Internet Initiative Japan (IIJ),Completed Apr 2019; phase2 Jul 2023,Unknown,~1.3 (industry-leading annual avg),Not disclosed,Not disclosed,"sgforum.impress.co.jp; iij.ad.jp press; Baxtel (region: Chiba, largest DC in Chiba at 10MW per Baxtel)"
IIJ: Shiroi Bldg 2,"Shiroi-shi, Chiba","86,110 SqFt (Baxtel)",Not disclosed,Internet Initiative Japan (IIJ),Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as IIJ: Shiroi Bldg 2)
IIJ: Shiroi Bldg 3,"Shiroi-shi, Chiba",Not disclosed,Not disclosed,Internet Initiative Japan (IIJ),Not disclosed (Planned per Baxtel provider table),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as IIJ: Shiroi Bldg 3)
Bit-isle Dai-1 Data Center (Tennozu),"Shinagawa-ku, Tokyo",Not disclosed,Not disclosed,Bit-isle Inc. (historical; now Equinix),Mar 2001,No (predates AI era),Not disclosed,Not disclosed,Not disclosed,ja.wikipedia.org
Bit-isle Dai-2 Data Center,Tokyo,Not disclosed,Not disclosed,Bit-isle Inc. (historical; now Equinix),Aug 2006,No,Not disclosed,Not disclosed,Not disclosed,ja.wikipedia.org
Bit-isle Dai-3 Data Center,Tokyo,Not disclosed,Not disclosed,Bit-isle Inc. (historical; now Equinix),Nov 2006,No,Not disclosed,Not disclosed,Not disclosed,ja.wikipedia.org
Bit-isle Dai-4 Data Center (Bunkyo),"Bunkyo-ku, Tokyo","Floor ~16,500 sqm",Not disclosed,Bit-isle Inc. (historical; now Equinix),Feb 2009,No,Not disclosed,Not disclosed,Not disclosed,cloud.watch cdc catalog
Bit-isle Dai-5 Data Center (Bunkyo area),"Bunkyo-ku, Tokyo","Floor 7,389 sqm (up to 1,440 racks)",Not disclosed,Bit-isle Inc. (historical; now Equinix),"Mar 1, 2015",No,Not disclosed,Not disclosed,Not disclosed,xtech.nikkei
Bit-isle Osaka Data Center,Osaka,Not disclosed,Not disclosed,Bit-isle Inc. (historical; now Equinix),Jun 2011,No,Not disclosed,Not disclosed,Not disclosed,RBB Today
Equinix TY1,"Heiwajima, Ota-ku, Tokyo","38,906 sq ft total; Baxtel size bucket: Extra Small",~5-12 MW (sources conflict),Equinix,Not disclosed,Unknown,Not disclosed,"~JPY66,990/cabinet/mo (2023 reseller rate)",Not disclosed,datacenters.com; Equinix reseller rate card; Baxtel
Equinix TY2,"Higashi-Shinagawa, Tokyo","58,992 sq ft total / 22,301 sq ft colo; Baxtel size bucket: Extra Small",6.0-10.8 MW (sources conflict),Equinix,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,datacenters.com; Baxtel
Equinix TY3,"Edagawa, Koto-ku, Tokyo","78,433 sq ft total / 31,502 sq ft colo; Baxtel size bucket: Small",4.05 MW,Equinix,Not disclosed,Unknown,Not disclosed,"~JPY105,840/cabinet/mo",Not disclosed,datacentermap.com; PeeringDB; Baxtel
Equinix TY4,"Otemachi, Chiyoda-ku, Tokyo","69,987 sq ft total / 27,685 sq ft colo; Baxtel size bucket: Small",2.25 MW,Equinix,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,datacenterhawk.com; Baxtel
Equinix TY5,"Edagawa, Koto-ku, Tokyo",Not disclosed; Baxtel size bucket: Extra Small,Not disclosed,Equinix,Not disclosed,Unknown,Not disclosed,"~JPY105,840/cabinet/mo",Not disclosed,baxtel.com
Equinix TY6,"Higashishinagawa, Tokyo","74,024 sq ft total / 39,751 sq ft colo; Baxtel size bucket: Small",2.5 MW,Equinix,Not disclosed,Unknown,Not disclosed,"~JPY72,555/cabinet/mo",Not disclosed,PeeringDB; Baxtel
Equinix TY7,"Higashishinagawa, Tokyo","95,993 sq ft total / 23,218 sq ft colo; Baxtel size bucket: Extra Small",6.0 MW,Equinix,Not disclosed,Unknown,Not disclosed,"~JPY70,245/cabinet/mo",Not disclosed,datacenters.com; Baxtel
Equinix TY8,"Higashishinagawa, Tokyo","77,224 sq ft total / 40,418 sq ft colo; Baxtel size bucket: Small",15.0 MW,Equinix,Not disclosed,Unknown,Not disclosed,"~JPY66,675/cabinet/mo",Not disclosed,datacenters.com; Baxtel
Equinix TY9,"Suido, Bunkyo-ku, Tokyo",Not disclosed; Baxtel size bucket: Small,~18 MW,Equinix,Not disclosed,Unknown,Not disclosed,"~JPY66,675/cabinet/mo",Not disclosed,datacenterhawk.com; Baxtel
Equinix TY10,"Suido, Bunkyo-ku, Tokyo",Not disclosed; Baxtel size bucket: Small,18 MW,Equinix,Not disclosed,Unknown,Not disclosed,"~JPY66,675/cabinet/mo",Not disclosed,inflect.com; Baxtel
Equinix TY11,"Ariake, Koto-ku, Tokyo","Phase1 39,800 sq ft colo; full >153,800 sq ft (~3,500 cabinets); Baxtel size bucket: Small",Not disclosed,Equinix,"Jul 22, 2019",Unknown,Not disclosed,"~JPY86,835/cabinet/mo",$70M (phase 1),PRNewswire; Baxtel
Equinix TY12x,"Inzai-shi, Chiba","~186,000 sq ft (~17,300 sqm colo); Baxtel size bucket: Medium",Up to 54 MW,Equinix (xScale JV w/ GIC),2020,Unknown (hyperscale-oriented),Not disclosed,Not disclosed (xScale wholesale),Not disclosed,datacenters.com; Baxtel
Equinix TY13x,"Izumino, Inzai-shi, Chiba",Not disclosed; Baxtel size bucket: Large,8 MW phase1 -> 36 MW full buildout,Equinix (xScale JV w/ GIC),2023; Baxtel shows ongoing Construction+Operational+Planned status (phased expansion),Unknown,Not disclosed,Not disclosed,Not disclosed,Techerati; datacentermap.com; Baxtel
Equinix TY15,"Konan, Minato-ku, Tokyo","Initial 1,200 cabinets; Baxtel size bucket: Small",Not disclosed,Equinix,Q4 2024; Baxtel shows ongoing Construction+Operational+Planned status (phased expansion),Unknown,Not disclosed,Not disclosed,Not disclosed,DCD; Baxtel
Equinix OS1,"Nishi-Shinsaibashi, Osaka","67,171 sq ft total / 47,842 sq ft colo; Baxtel size bucket: Small",1.35 MW,Equinix,2013,Unknown,Not disclosed,Not disclosed,"$12M (phase 1, up to 800 cabinets full build)",Baxtel
Equinix OS2x,"Minoh, Osaka",Not disclosed; Baxtel size bucket: Small,Not disclosed,Equinix (xScale),Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,equinix.com listing; Baxtel
Equinix OS3,"Keihanshin OBP Building, Osaka","80,375 sq ft total; up to 89,300 sq ft (~2,500 racks); Baxtel size bucket: Small",3.0-3.4 MW (initial),Equinix,2021; Baxtel shows Operational+Planned (further expansion planned),Unknown,Not disclosed,Not disclosed,Not disclosed,DCD; Equinix blog; Baxtel
Equinix OS4x,"Saitoaokita, Minoh, Osaka","4,926 sqm (53,025 sq ft); Baxtel size bucket: Small",14.4 MW,Equinix (xScale),Jun 2024,Unknown,Not disclosed,Not disclosed,Not disclosed,Equinix Newsroom; Investment Monitor; Baxtel
Equinix OS5x,Osaka,Not disclosed; Baxtel size bucket: Small,Not disclosed,Equinix (xScale),Not disclosed (Construction per Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,"Baxtel (listed as Equinix: OS5x, status Construction)"
MC Digital Realty NRT10,"Otsuka, Inzai City, Chiba","37,850 sqm (~4,800 racks)",38-39 MW,MC Digital Realty (Mitsubishi Corp + Digital Realty JV),2021,No/Unknown,Not disclosed,Not disclosed,Not disclosed,DCD; digitalrealty.com; Baxtel (listed as MC Digital Realty-Inzai (NRT10))
MC Digital Realty NRT12,"Otsuka, Inzai City, Chiba","27,500-27,571 sqm (~4,000 racks)",34 MW (up to 70 kW/rack),MC Digital Realty,2024,Yes (air-assisted liquid cooling for ML/VR/AR/AI),Not disclosed,Not disclosed,Not disclosed,Mingtiandi; PR Times; Baxtel
MC Digital Realty NRT14,"Otsuka, Inzai City, Chiba","22,240-22,867 sqm",Campus total approaching ~100-120 MW with NRT14 added,MC Digital Realty,Apr 2026,Yes (hybrid liquid/air cooling for next-gen GPUs),Not disclosed,Not disclosed,Not disclosed,GlobeNewswire; MC Digital Realty press; Baxtel
MC Digital Realty KIX Campus / KIX10,"Saito Aokita, Minoh, Osaka",Not disclosed; Baxtel size bucket: Small,8 MW,MC Digital Realty,2017,No/Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
MC Digital Realty KIX11,"Saito Aokita, Minoh, Osaka","249,238 SqFt (Baxtel)",25 MW (one source: 28 MW),MC Digital Realty,2019,No/Unknown,Not disclosed,Not disclosed,Not disclosed,Commercial Search; Baxtel
MC Digital Realty KIX12,"Saito Aokita, Minoh, Osaka","18,334 sqm (197,300 sq ft)",20 MW,MC Digital Realty,Aug 2021,No/Unknown,Not disclosed,Not disclosed,Not disclosed,digitalrealty.com; Baxtel
MC Digital Realty KIX13,Osaka campus,"247,570 SqFt (Baxtel)",Up to 21 MW (campus total >70MW),MC Digital Realty,Feb 2023,Unknown,Not disclosed,Not disclosed,Not disclosed,PRNewswire; Baxtel
MC Digital Realty additional Inzai land / future campus,"Inzai City, Chiba",Combined campus targeting 120+ MW total,120+ MW (aggregate plan),MC Digital Realty,Under development,Unknown,Not disclosed,Not disclosed,Not disclosed,Data Center Café; Cloud Watch
MC Digital Realty MCC Mitaka: North Block,"Mitaka-shi, Tokyo",Not disclosed; Baxtel size bucket: Small,Not disclosed,MC Digital Realty,Not disclosed (Operational per Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as MCC Mitaka: North Block)
MC Digital Realty MCC Mitaka: South Block,"Mitaka-shi, Tokyo",Not disclosed; Baxtel size bucket: Small,Not disclosed,MC Digital Realty,Not disclosed (Operational per Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as MCC Mitaka: South Block)
Colt Inzai 1,"Chiba New Town, Inzai","4,000 sqm white space",8 MW,Colt Data Centre Services,~2011,No/Unknown,Not disclosed,Not disclosed,Not disclosed,Colt DCS
Colt Inzai 2,"Chiba New Town, Inzai","5,000 sqm white space; Baxtel size bucket: Small",15 MW,Colt Data Centre Services,Not disclosed (fully let),No/Unknown,Not disclosed,Not disclosed,Not disclosed,Colt DCS; Baxtel
Colt Inzai 3,"Chiba New Town, Inzai","8,000 sqm white space; Baxtel size bucket: Medium",27 MW,Colt Data Centre Services,2020 (fully let),No/Unknown,Not disclosed,Not disclosed,Not disclosed,Colt DCS; Baxtel
Colt Inzai 4,"Chiba New Town, Inzai","8,747 sqm (~94,100 sq ft) white space; Baxtel size bucket: Medium",20 MW,Colt Data Centre Services,Groundbreaking Apr 2023; opened Feb 2025,"Yes (built for cloud/AI providers, HPC)",Not disclosed,Not disclosed (100% pre-let),Not disclosed,PRNewswire; Baxtel (still shows Construction+Operational — likely phased buildout)
Colt Inzai 5,"Chuokita, Inzai-shi, Chiba",2.5-acre site; Baxtel size bucket: Medium,Not disclosed,Colt Data Centre Services,Under development,Unknown,Not disclosed,Not disclosed,Not disclosed,datacenterHawk; Baxtel (status: Planned)
Colt Tokyo Otemachi,"Chiyoda-ku, Tokyo",Not disclosed,Not disclosed,Colt Data Centre Services,Not disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Colt DCS; Baxtel (listed as Colt Ōtemachi)
Colt Tokyo Shiohama,"Koto-ku, Tokyo","21,348 sqm gross technical floor area",5.6 MW,Colt Data Centre Services,Not disclosed,No/Unknown,Not disclosed,Not disclosed,Not disclosed,Colt DCS; Baxtel
Colt Osaka Keihanna,"Kita-ku, Osaka City","462,848 SqFt (Baxtel) — largest DC in Osaka Prefecture per Baxtel",46 MW (Baxtel-confirmed),Colt Data Centre Services,Not disclosed,No/Unknown,1.4 (free cooling/outdoor air/solar),Not disclosed,Not disclosed,datacenters.com; Baxtel (listed as Colt Osaka Keihanna)
Colt KVH Tokyo,Tokyo,Not disclosed,Not disclosed,Colt Data Centre Services (JV w/ KVH),Not disclosed (Operational per Baxtel),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as Colt KVH Tokyo)
"Colt: Minoh, Osaka","Minoh, Osaka",Not disclosed; Baxtel size bucket: Large,Not disclosed,Colt Data Centre Services,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,"Baxtel (listed as Colt: Minoh, Osaka)"
Colt: Minoh 2,"Minoh, Osaka",Not disclosed; Baxtel size bucket: Large,Not disclosed,Colt Data Centre Services,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as Colt: Minoh 2)
Colt: Yoshikawa B1,"Yoshikawa, Tokyo area",Not disclosed; Baxtel size bucket: Large,Not disclosed,Colt Data Centre Services,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as Colt: Yoshikawa B1)
Colt: Yoshikawa B2,"Yoshikawa, Tokyo area",Not disclosed; Baxtel size bucket: Medium,Not disclosed,Colt Data Centre Services,Not disclosed (Planned),Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as Colt: Yoshikawa B2)
DayOne Fuchu (GDS Services / Gaw Capital JV),"Fuchu Intelligent Park, Fuchu City, Tokyo","10,970 sqm (118,080 sq ft) land, two plots; Baxtel size bucket: Large",40 MW full buildout (orig. announced 50MW),"GDS Services (rebranded ""DayOne"" Jan 2025) + Gaw Capital Partners",Phase1 targeted end of 2026,"Unknown (GDS cites AI demand context, no explicit spec)",Not disclosed,Not disclosed,Not disclosed,Mingtiandi; Baxtel
Princeton Digital Group TY1 Campus,"Saitama City, Saitama","Land 33,000 sqm; Phase1 bldg 59,000-60,000 sqm, 6 stories; Baxtel size bucket: Large","96-100 MW total (Phase1 48MW), up to 140kW/rack",Princeton Digital Group (w/ Lendlease),"Launched Apr 24, 2025","Yes (""one of Japan's largest AI-ready DCs"", liquid cooling)",<1.34 (design),Not disclosed,USD ~1bn (PDG) + ~$490M (Lendlease),PDG Newsroom; Capacity Media; Lendlease; Baxtel (listed as Princeton PDG TY1)
Princeton Digital Group TY1 Campus DC2,"Saitama City, Saitama",Not disclosed; Baxtel size bucket: Large,48 MW (Baxtel-confirmed),Princeton Digital Group,Construction; estimated launch Q3 2026 (Baxtel),Yes (2nd building of AI-ready TY1 campus),Not disclosed,Not disclosed,Included in PDG's ~$1bn TY1 campus investment,"Baxtel (listed as Princeton PDG TY1 DC2, status Construction)"
STT Tokyo 1,"Goodman Business Park, Inzai City, Chiba","Part of 60,000 sqm combined GFA (both bldgs); Baxtel size bucket: Medium",>32 MW,ST Telemedia Global Data Centres (STT GDC),"Launched Jun 25, 2025","Unknown/Yes-adjacent (JDCC-compliant, carbon-neutral design)",Not disclosed,Not disclosed,Not disclosed,STT GDC Newsroom; Mingtiandi; Baxtel
STT Tokyo 2,"Goodman Business Park, Inzai City, Chiba","Part of 60,000 sqm combined GFA; Baxtel size bucket: Large",>38 MW (Baxtel-confirmed; campus combined up to 70MW),ST Telemedia Global Data Centres (STT GDC),"Construction; Baxtel estimated launch Q1 2026 (earlier PR said early 2027 — treat with caution, dates conflict)",Unknown/Yes-adjacent,Not disclosed,Not disclosed,Not disclosed,STT GDC Newsroom; Baxtel
